supplier name,Invoice Numver,Part Number,Cost,Purchase Date
supplier X, 001 - 1001,2341,$500.00 ,2018-01-20
supplier X, 001 - 1001,2341,$500.00 ,2018-01-20
supplier X, 001 - 1001,5467,$750.00 ,2018-01-20
supplier X, 001 - 1001,5467,$750.00 ,2018-01-20
supplier Y, 50 - 9501,7009,$250.00 ,2018-01-20
supplier Y, 50 - 9501 ,7009,$250.00 ,2018-01-30
supplier Y, 50 - 9505 ,6650,$125.00 ,2018-01-30
supplier Y, 50 - 9505 ,6650,$125.00 ,2018-02-03
supplier Z, 920 - 4803,3321,$650.00 ,2018-02-03
supplier Z, 920 - 4804,3322,$650.00 ,2018-02-10
supplier Z, 920 - 4805,3323,$650.00 ,2018-02-17
, 920 - 4806,3324,$650.00 ,2018-02-24
